method,episode,env_idx,steps,ep_return,success,safety_violations,failures_detected,recoveries_attempted,recoveries_succeeded,time_to_recover,planning_ms,wall_clock_s
gatsr_full,2,5,69,-3.6510367393493652,0,18,11,1,0,-1.0,5.903420291598076,3.218432900030166
gatsr_full,2,6,68,-4.036206245422363,0,17,11,1,1,16.0,5.903420291598076,3.218432900030166
gatsr_full,2,7,62,-3.65093731880188,0,16,10,1,1,16.0,5.903420291598076,3.218432900030166
gatsr_full,2,8,66,-4.224931716918945,0,16,12,2,2,9.5,5.903420291598076,3.218432900030166
gatsr_full,2,9,67,-3.8852100372314453,0,16,10,1,1,16.0,5.903420291598076,3.218432900030166
gatsr_full,2,10,59,-4.287909984588623,0,16,12,1,1,15.0,5.903420291598076,3.218432900030166
gatsr_full,2,11,59,-4.291452407836914,0,18,13,3,3,6.666666666666667,5.903420291598076,3.218432900030166
gatsr_full,2,12,58,-4.644833087921143,0,15,11,2,2,8.0,5.903420291598076,3.218432900030166
gatsr_full,2,13,64,-4.225435733795166,0,16,12,2,2,9.0,5.903420291598076,3.218432900030166
gatsr_full,2,14,66,-3.6385021209716797,0,18,11,1,1,17.0,5.903420291598076,3.218432900030166
gatsr_full,2,15,61,-3.869917869567871,0,15,10,1,1,17.0,5.903420291598076,3.218432900030166
